customer_id,age,location,signup_date,subscription_type,last_payment_date,payment_delay_days,failed_payments_count,avg_weekly_usage_hours,days_since_last_login,courses_completed,tickets_raised,last_ticket_days
1,58,Chicago,704,Yearly,4,6,2,2.67,676,9,0,
2,18,Chicago,410,Yearly,161,11,2,9.4,252,3,0,
3,30,Austin,104,Yearly,47,5,1,7.24,68,9,4,128.0
4,47,Los Angeles,566,Monthly,495,15,4,14.3,475,4,2,295.0
5,46,New York,126,Yearly,115,14,3,15.46,95,3,5,290.0
6,60,Chicago,388,Monthly,311,14,0,12.47,278,9,5,166.0
7,23,Seattle,286,Monthly,32,9,2,14.29,106,7,5,212.0
8,35,Chicago,337,Yearly,162,3,1,3.07,242,2,1,55.0
9,33,Chicago,186,Monthly,25,12,4,5.69,54,0,4,345.0
10,40,Los Angeles,113,Monthly,3,2,2,9.09,74,5,2,172.0
11,51,Denver,300,Monthly,152,2,4,2.23,185,5,1,331.0
12,56,New York,48,Monthly,6,13,1,15.06,3,4,0,
13,42,Seattle,49,Monthly,23,2,2,7.51,31,8,2,128.0
14,27,Denver,503,Monthly,12,1,2,1.17,69,5,3,338.0
15,38,Los Angeles,471,Monthly,180,9,1,8.44,60,1,4,31.0
16,51,Los Angeles,46,Yearly,26,12,3,2.39,7,5,5,35.0
17,60,New York,442,Monthly,125,1,3,14.8,401,10,1,320.0
18,41,Staceyborough,416,Yearly,334,0,1,10.09,19,1,4,346.0
19,32,New York,696,Yearly,133,14,3,15.05,165,8,5,60.0
20,52,Los Angeles,134,Monthly,53,15,3,17.3,36,3,0,
21,37,New York,253,Monthly,231,13,0,8.5,15,4,2,35.0
22,28,New York,580,Yearly,36,1,4,15.8,192,5,0,
23,36,Los Angeles,9,Monthly,8,0,3,4.46,2,4,2,262.0
24,45,Seattle,66,Monthly,54,11,4,15.99,39,6,0,
25,19,Los Angeles,723,Monthly,271,11,4,8.43,679,7,1,61.0
26,46,East Makaylamouth,190,Yearly,82,4,3,10.48,174,3,0,
27,26,Morgantown,153,Yearly,34,15,2,0.35,113,7,1,88.0
28,55,Los Angeles,635,Monthly,107,14,3,8.41,140,1,0,
29,39,New York,514,Monthly,112,15,4,19.41,192,7,1,44.0
30,19,Los Angeles,372,Yearly,215,15,0,6.56,170,4,3,332.0
31,18,Chicago,401,Yearly,13,14,4,12.0,206,0,3,295.0
32,50,New York,305,Monthly,277,7,2,19.63,252,3,3,144.0
33,40,Seattle,658,Yearly,631,15,0,10.22,107,4,2,365.0
34,60,Chicago,499,Yearly,11,10,0,17.96,101,5,0,
35,32,Brownbury,671,Yearly,76,5,2,10.95,2,5,1,235.0
36,47,Chicago,33,Yearly,20,2,1,6.6,17,9,2,255.0
37,20,Denver,272,Monthly,185,12,3,4.86,9,5,2,300.0
38,27,Los Angeles,540,Yearly,201,9,2,18.83,453,7,4,275.0
39,33,New York,542,Monthly,24,12,1,7.7,148,6,5,38.0
40,53,New York,360,Yearly,23,11,3,15.73,138,10,4,60.0
41,60,New York,49,Monthly,4,7,3,19.96,4,3,2,330.0
42,45,Ronaldhaven,510,Monthly,355,14,1,5.47,321,7,0,
43,50,Chicago,478,Yearly,322,5,4,9.37,116,6,5,158.0
44,38,Chicago,321,Yearly,139,6,3,0.52,12,3,2,216.0
45,55,Chicago,474,Monthly,37,13,4,1.95,41,8,3,32.0
46,23,Chicago,574,Yearly,433,11,1,12.18,170,2,2,204.0
47,55,New York,33,Monthly,33,1,2,2.18,26,10,2,351.0
48,45,Los Angeles,682,Monthly,40,0,3,16.68,514,8,2,214.0
49,53,Chicago,52,Yearly,1,11,2,2.75,7,5,3,230.0
50,32,Chicago,690,Monthly,497,8,1,6.31,510,3,0,
51,45,New York,415,Monthly,155,6,0,11.96,169,8,1,71.0
52,26,Chicago,234,Yearly,47,7,1,13.3,128,4,5,94.0
53,45,Port Michaelland,372,Monthly,252,8,4,7.32,314,4,5,228.0
54,31,Los Angeles,146,Monthly,52,5,3,2.54,113,7,0,
55,53,Williamton,551,Yearly,202,7,2,3.05,47,2,4,78.0
56,40,Austin,522,Yearly,188,6,1,13.11,11,3,0,
57,60,Los Angeles,128,Yearly,27,5,3,19.47,120,8,2,135.0
58,53,Chicago,607,Yearly,278,0,0,12.89,256,1,4,350.0
59,19,West Antonio,394,Yearly,96,15,0,19.87,8,2,2,67.0
60,31,New York,103,Yearly,24,1,2,18.49,35,10,3,219.0
61,53,New York,206,Monthly,175,4,4,1.53,48,2,5,243.0
62,42,Chicago,328,Yearly,160,3,1,2.44,84,4,3,325.0
63,54,Chicago,528,Yearly,22,3,3,17.9,124,5,0,
64,29,Los Angeles,651,Monthly,144,9,4,18.19,13,5,5,66.0
65,34,New York,99,Yearly,86,10,0,14.21,45,1,2,197.0
66,44,Chicago,703,Yearly,118,2,3,16.96,622,8,1,270.0
67,48,Los Angeles,681,Monthly,392,8,1,19.62,492,5,5,219.0
68,26,New Kennethhaven,303,Monthly,76,1,1,16.38,146,4,4,62.0
69,29,Chicago,716,Monthly,116,7,3,14.16,530,1,4,253.0
70,50,Austin,185,Monthly,154,11,2,7.13,21,2,1,319.0
71,30,Chicago,508,Monthly,483,5,1,18.29,21,0,3,256.0
72,34,Los Angeles,223,Monthly,112,4,3,19.58,122,7,4,337.0
73,50,Chicago,661,Yearly,430,15,2,19.25,316,8,4,274.0
74,59,Los Angeles,726,Monthly,270,2,4,9.04,14,6,0,
75,36,Los Angeles,552,Yearly,7,7,4,1.2,264,7,4,193.0
76,53,New York,129,Monthly,61,0,4,15.78,116,6,4,314.0
77,28,Lake Andrea,385,Monthly,70,3,1,7.53,165,5,5,111.0
78,27,New York,258,Yearly,206,11,0,11.06,252,5,3,158.0
79,27,Seattle,482,Yearly,54,1,4,5.82,226,4,5,87.0
80,52,West Jennifer,126,Yearly,117,7,2,14.74,54,0,0,
81,18,Chicago,194,Monthly,63,8,4,9.17,2,10,2,152.0
82,19,New York,699,Monthly,186,10,3,12.17,258,0,2,68.0
83,21,New York,293,Monthly,39,0,4,4.49,276,1,5,358.0
84,43,New York,75,Monthly,35,6,2,18.6,37,6,4,267.0
85,37,Los Angeles,224,Yearly,18,0,2,10.5,51,8,2,41.0
86,33,Los Angeles,666,Monthly,147,13,2,4.72,182,0,5,165.0
